Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"HAULOTTE GROUP";FR0000066755;PIG;"Euronext Paris";EUR;2.48;2.50;2.47;2.49;"12/12/2023 17:35";CET;782;1935.66;2.49;12/12/2023
HDF;FR0014003VY4;HDF;"Euronext Paris";EUR;10.90;10.90;10.60;10.60;"12/12/2023 17:35";CET;3279;34997.38;10.60;12/12/2023
"HEALTHCARE ACTIVOS";ES0105498002;MLHAY;"Euronext Access Paris";EUR;1.32999;1.32999;1.32999;1.32999;"30/09/2020 00:00";CET;-;-;1.35;12/12/2023
HERIGE;FR0000066540;ALHRG;"Euronext Growth Paris";EUR;30.70;30.80;30.30;30.30;"12/12/2023 17:27";CET;1332;40657.30;30.30;12/12/2023
"HERMES INTL";FR0000052292;RMS;"Euronext Paris";EUR;2000.00;2027.50;1997.60;2009.50;"12/12/2023 17:35";CET;54013;108654618.80;2009.50;12/12/2023
HEXAOM;FR0004159473;ALHEX;"Euronext Growth Paris";EUR;21.00;21.00;20.60;20.60;"12/12/2023 17:35";CET;7353;153166.50;20.60;12/12/2023
"HF COMPANY";FR0000038531;ALHF;"Euronext Growth Paris";EUR;5.18;5.26;5.14;5.26;"12/12/2023 17:25";CET;1314;6885.20;5.26;12/12/2023
"HIGH CO";FR0000054231;HCO;"Euronext Paris";EUR;3.94;3.95;3.88;3.95;"12/12/2023 17:35";CET;14851;58112.65;3.95;12/12/2023
"HIPAY GROUP";FR0012821916;ALHYP;"Euronext Growth Paris";EUR;7.62;7.96;7.62;7.94;"12/12/2023 17:35";CET;2374;18496.30;7.94;12/12/2023
HITECHPROS;FR0010396309;ALHIT;"Euronext Growth Paris";EUR;16.00;16.00;16.00;16.00;"12/12/2023 11:51";CET;113;1808.00;16.00;12/12/2023
HK;DE000A11Q133;MLHK;"Euronext Access Paris";EUR;99.00;99.00;99.00;99.00;"12/12/2023 16:30";CET;10;990.00;99.00;12/12/2023
"HOCHE BAINS L.BAIN";FR0000051302;MLHBB;"Euronext Access Paris";EUR;58.50;58.50;58.50;58.50;"24/11/2023 16:30";CET;2;117.00;58.50;12/12/2023
HOFFMANN;FR0013451044;ALHGR;"Euronext Growth Paris";EUR;7.70;7.70;7.50;7.65;"12/12/2023 17:22";CET;4801;36387.36;7.65;12/12/2023
"HOME CONCEPT";FR0012336691;MLHCF;"Euronext Access Paris";EUR;16.30;16.30;16.30;16.30;"16/11/2023 16:30";CET;15;244.50;16.30;12/12/2023
HOPENING;FR0010312181;MLHPE;"Euronext Access Paris";EUR;7.50;7.50;7.50;7.50;"07/12/2023 16:30";CET;305;2287.50;7.50;12/12/2023
HOPIUM;FR0014000U63;ALHPI;"Euronext Growth Paris";EUR;0.09;0.09;0.0785;0.0847;"12/12/2023 17:26";CET;292314;24395.32;0.0847;12/12/2023
"HOPSCOTCH GROUPE";FR0000065278;ALHOP;"Euronext Growth Paris";EUR;18.00;18.00;17.95;18.00;"12/12/2023 15:30";CET;1350;24252.45;18.00;12/12/2023
"HOT.MAJESTIC CANNE";FR0006226791;MLHMC;"Euronext Access Paris";EUR;4600.00;4600.00;4600.00;4600.00;"17/10/2023 16:30";CET;1;4600.00;4600.00;12/12/2023
"HOTELES BESTPRICE";ES0105664009;MLHBP;"Euronext Access Paris";EUR;3.02;3.02;3.02;3.02;"01/12/2023 11:30";CET;100;302.00;3.02;12/12/2023
HOTELIM;FR0000053738;MLHOT;"Euronext Access Paris";EUR;26.00;26.00;26.00;26.00;"11/12/2023 11:30";CET;29;754.00;26.00;12/12/2023
